File,Subject,Verb,Object
vnp_url_121.txt,,Malaisie,
vnp_url_344.txt,parties,affirmé,domaines
vnp_url_81.txt,,Malaisie,
vnp_url_140.txt,ambassadeur,facilite,soutien
vnp_url_186.txt,produits,rien,capacité
vnp_url_363.txt,il,estime,»
vnp_url_23.txt,il,estime,»
vnp_url_301.txt,,Malaisie,
vnp_url_486.txt,produits,rien,capacité
vnp_url_288.txt,Laos,libéré,régime
vnp_url_244.txt,parties,affirmé,domaines
vnp_url_447.txt,défense,attache,
vnp_url_298.txt,général,conformément,Miralles
vnp_url_57.txt,Ils,suggéré,protocole
vnp_url_119.txt,délégation,",",homme
vnp_url_484.txt,parties,affirmé,domaines
vnp_url_266.txt,produits,rien,capacité
vnp_url_180.txt,ambassadeur,facilite,soutien
vnp_url_13.txt,échange,Chine,amitié
vnp_url_198.txt,général,conformément,Miralles
vnp_url_200.txt,ambassadeur,facilite,soutien
vnp_url_161.txt,,Malaisie,
vnp_url_164.txt,parties,affirmé,domaines
vnp_url_299.txt,délégation,",",homme
vnp_url_283.txt,il,estime,»
vnp_url_40.txt,ambassadeur,facilite,soutien
vnp_url_367.txt,défense,attache,
vnp_url_80.txt,ambassadeur,facilite,soutien
vnp_url_371.txt,’,Viettel,produits
vnp_url_231.txt,’,Viettel,produits
vnp_url_139.txt,délégation,",",homme
vnp_url_420.txt,ambassadeur,facilite,soutien
vnp_url_264.txt,parties,affirmé,domaines
vnp_url_7.txt,défense,attache,
vnp_url_26.txt,produits,rien,capacité
vnp_url_478.txt,général,conformément,Miralles
vnp_url_284.txt,parties,affirmé,domaines
vnp_url_383.txt,il,estime,»
vnp_url_202.txt,il,déclaré,profonde
vnp_url_425.txt,nous,premier,fermement
vnp_url_243.txt,il,estime,»
vnp_url_183.txt,il,estime,»
vnp_url_491.txt,’,Viettel,produits
vnp_url_406.txt,produits,rien,capacité
vnp_url_120.txt,ambassadeur,facilite,soutien
vnp_url_46.txt,produits,rien,capacité
vnp_url_408.txt,Laos,libéré,régime
vnp_url_467.txt,défense,attache,
vnp_url_77.txt,Ils,suggéré,protocole
vnp_url_293.txt,échange,Chine,amitié
vnp_url_106.txt,produits,rien,capacité
vnp_url_265.txt,nous,premier,fermement
vnp_url_251.txt,’,Viettel,produits
vnp_url_433.txt,échange,Chine,amitié
vnp_url_366.txt,produits,rien,capacité
vnp_url_8.txt,Laos,libéré,régime
vnp_url_385.txt,nous,premier,fermement
vnp_url_393.txt,échange,Chine,amitié
vnp_url_339.txt,délégation,",",homme
vnp_url_358.txt,général,conformément,Miralles
vnp_url_498.txt,général,conformément,Miralles
vnp_url_263.txt,il,estime,»
vnp_url_153.txt,échange,Chine,amitié
vnp_url_480.txt,ambassadeur,facilite,soutien
vnp_url_320.txt,ambassadeur,facilite,soutien
vnp_url_103.txt,il,estime,»
vnp_url_237.txt,Ils,suggéré,protocole
vnp_url_423.txt,il,estime,»
vnp_url_5.txt,nous,premier,fermement
vnp_url_241.txt,,Malaisie,
vnp_url_338.txt,général,conformément,Miralles
vnp_url_188.txt,Laos,libéré,régime
vnp_url_6.txt,produits,rien,capacité
vnp_url_93.txt,échange,Chine,amitié
vnp_url_482.txt,il,déclaré,profonde
vnp_url_311.txt,’,Viettel,produits
vnp_url_160.txt,ambassadeur,facilite,soutien
vnp_url_104.txt,parties,affirmé,domaines
vnp_url_99.txt,délégation,",",homme
vnp_url_413.txt,échange,Chine,amitié
vnp_url_280.txt,ambassadeur,facilite,soutien
vnp_url_382.txt,il,déclaré,profonde
vnp_url_25.txt,nous,premier,fermement
vnp_url_453.txt,échange,Chine,amitié
vnp_url_488.txt,Laos,libéré,régime
vnp_url_483.txt,il,estime,»
vnp_url_131.txt,’,Viettel,produits
vnp_url_165.txt,nous,premier,fermement
vnp_url_440.txt,ambassadeur,facilite,soutien
vnp_url_451.txt,’,Viettel,produits
vnp_url_422.txt,il,déclaré,profonde
vnp_url_387.txt,défense,attache,
vnp_url_404.txt,parties,affirmé,domaines
vnp_url_173.txt,échange,Chine,amitié
vnp_url_38.txt,général,conformément,Miralles
vnp_url_83.txt,il,estime,»
vnp_url_471.txt,’,Viettel,produits
vnp_url_162.txt,il,déclaré,profonde
vnp_url_308.txt,Laos,libéré,régime
vnp_url_438.txt,général,conformément,Miralles
vnp_url_398.txt,général,conformément,Miralles
vnp_url_59.txt,délégation,",",homme
vnp_url_224.txt,parties,affirmé,domaines
vnp_url_108.txt,Laos,libéré,régime
vnp_url_461.txt,,Malaisie,
vnp_url_142.txt,il,déclaré,profonde
vnp_url_388.txt,Laos,libéré,régime
vnp_url_182.txt,il,déclaré,profonde
vnp_url_399.txt,délégation,",",homme
vnp_url_19.txt,délégation,",",homme
vnp_url_157.txt,Ils,suggéré,protocole
vnp_url_42.txt,il,déclaré,profonde
vnp_url_171.txt,’,Viettel,produits
vnp_url_282.txt,il,déclaré,profonde
vnp_url_3.txt,il,estime,»
vnp_url_98.txt,général,conformément,Miralles
vnp_url_17.txt,Ils,suggéré,protocole
vnp_url_346.txt,produits,rien,capacité
vnp_url_146.txt,produits,rien,capacité
vnp_url_1.txt,,Malaisie,
vnp_url_485.txt,nous,premier,fermement
vnp_url_373.txt,échange,Chine,amitié
vnp_url_222.txt,il,déclaré,profonde
vnp_url_148.txt,Laos,libéré,régime
vnp_url_24.txt,parties,affirmé,domaines
vnp_url_111.txt,’,Viettel,produits
vnp_url_259.txt,délégation,",",homme
vnp_url_44.txt,parties,affirmé,domaines
vnp_url_441.txt,,Malaisie,
vnp_url_313.txt,échange,Chine,amitié
vnp_url_246.txt,produits,rien,capacité
vnp_url_365.txt,nous,premier,fermement
vnp_url_360.txt,ambassadeur,facilite,soutien
vnp_url_113.txt,échange,Chine,amitié
vnp_url_58.txt,général,conformément,Miralles
vnp_url_185.txt,nous,premier,fermement
vnp_url_384.txt,parties,affirmé,domaines
vnp_url_128.txt,Laos,libéré,régime
vnp_url_91.txt,’,Viettel,produits
vnp_url_460.txt,ambassadeur,facilite,soutien
vnp_url_245.txt,nous,premier,fermement
vnp_url_302.txt,il,déclaré,profonde
vnp_url_437.txt,Ils,suggéré,protocole
vnp_url_193.txt,échange,Chine,amitié
vnp_url_101.txt,,Malaisie,
vnp_url_439.txt,délégation,",",homme
vnp_url_37.txt,Ils,suggéré,protocole
vnp_url_442.txt,il,déclaré,profonde
vnp_url_201.txt,,Malaisie,
vnp_url_105.txt,nous,premier,fermement
vnp_url_257.txt,Ils,suggéré,protocole
vnp_url_225.txt,nous,premier,fermement
vnp_url_465.txt,nous,premier,fermement
vnp_url_253.txt,échange,Chine,amitié
vnp_url_397.txt,Ils,suggéré,protocole
vnp_url_258.txt,général,conformément,Miralles
vnp_url_487.txt,défense,attache,
vnp_url_64.txt,parties,affirmé,domaines
vnp_url_166.txt,produits,rien,capacité
vnp_url_147.txt,défense,attache,
vnp_url_287.txt,défense,attache,
vnp_url_297.txt,Ils,suggéré,protocole
vnp_url_418.txt,général,conformément,Miralles
vnp_url_143.txt,il,estime,»
vnp_url_88.txt,Laos,libéré,régime
vnp_url_401.txt,,Malaisie,
vnp_url_33.txt,échange,Chine,amitié
vnp_url_87.txt,défense,attache,
vnp_url_61.txt,,Malaisie,
vnp_url_223.txt,il,estime,»
vnp_url_118.txt,général,conformément,Miralles
vnp_url_242.txt,il,déclaré,profonde
vnp_url_377.txt,Ils,suggéré,protocole
vnp_url_318.txt,général,conformément,Miralles
vnp_url_127.txt,défense,attache,
vnp_url_100.txt,ambassadeur,facilite,soutien
vnp_url_226.txt,produits,rien,capacité
vnp_url_84.txt,parties,affirmé,domaines
vnp_url_41.txt,,Malaisie,
vnp_url_381.txt,,Malaisie,
vnp_url_285.txt,nous,premier,fermement
vnp_url_262.txt,il,déclaré,profonde
vnp_url_419.txt,délégation,",",homme
vnp_url_446.txt,produits,rien,capacité
vnp_url_248.txt,Laos,libéré,régime
vnp_url_203.txt,il,estime,»
vnp_url_277.txt,Ils,suggéré,protocole
vnp_url_31.txt,’,Viettel,produits
vnp_url_267.txt,défense,attache,
vnp_url_63.txt,il,estime,»
vnp_url_403.txt,il,estime,»
vnp_url_479.txt,délégation,",",homme
vnp_url_464.txt,parties,affirmé,domaines
vnp_url_218.txt,général,conformément,Miralles
vnp_url_11.txt,’,Viettel,produits
vnp_url_400.txt,ambassadeur,facilite,soutien
vnp_url_278.txt,général,conformément,Miralles
vnp_url_217.txt,Ils,suggéré,protocole
vnp_url_2.txt,il,déclaré,profonde
vnp_url_197.txt,Ils,suggéré,protocole
vnp_url_379.txt,délégation,",",homme
vnp_url_122.txt,il,déclaré,profonde
vnp_url_206.txt,produits,rien,capacité
vnp_url_141.txt,,Malaisie,
vnp_url_322.txt,il,déclaré,profonde
vnp_url_86.txt,produits,rien,capacité
vnp_url_178.txt,général,conformément,Miralles
vnp_url_39.txt,délégation,",",homme
vnp_url_43.txt,il,estime,»
vnp_url_417.txt,Ils,suggéré,protocole
vnp_url_47.txt,défense,attache,
vnp_url_20.txt,ambassadeur,facilite,soutien
vnp_url_158.txt,général,conformément,Miralles
vnp_url_21.txt,,Malaisie,
vnp_url_421.txt,,Malaisie,
vnp_url_133.txt,échange,Chine,amitié
vnp_url_362.txt,il,déclaré,profonde
vnp_url_364.txt,parties,affirmé,domaines
vnp_url_238.txt,général,conformément,Miralles
vnp_url_4.txt,parties,affirmé,domaines
vnp_url_279.txt,délégation,",",homme
vnp_url_137.txt,Ils,suggéré,protocole
vnp_url_65.txt,nous,premier,fermement
vnp_url_220.txt,ambassadeur,facilite,soutien
vnp_url_211.txt,’,Viettel,produits
vnp_url_386.txt,produits,rien,capacité
vnp_url_341.txt,,Malaisie,
vnp_url_306.txt,produits,rien,capacité
vnp_url_125.txt,nous,premier,fermement
vnp_url_184.txt,parties,affirmé,domaines
vnp_url_327.txt,défense,attache,
vnp_url_431.txt,’,Viettel,produits
vnp_url_368.txt,Laos,libéré,régime
vnp_url_291.txt,’,Viettel,produits
vnp_url_240.txt,ambassadeur,facilite,soutien
vnp_url_71.txt,’,Viettel,produits
vnp_url_117.txt,Ils,suggéré,protocole
vnp_url_303.txt,il,estime,»
vnp_url_73.txt,échange,Chine,amitié
vnp_url_463.txt,il,estime,»
vnp_url_343.txt,il,estime,»
vnp_url_126.txt,produits,rien,capacité
vnp_url_159.txt,délégation,",",homme
vnp_url_124.txt,parties,affirmé,domaines
vnp_url_138.txt,général,conformément,Miralles
vnp_url_462.txt,il,déclaré,profonde
vnp_url_48.txt,Laos,libéré,régime
vnp_url_348.txt,Laos,libéré,régime
vnp_url_261.txt,,Malaisie,
vnp_url_208.txt,Laos,libéré,régime
vnp_url_219.txt,délégation,",",homme
vnp_url_205.txt,nous,premier,fermement
vnp_url_307.txt,défense,attache,
vnp_url_179.txt,délégation,",",homme
vnp_url_204.txt,parties,affirmé,domaines
vnp_url_145.txt,nous,premier,fermement
vnp_url_459.txt,délégation,",",homme
vnp_url_273.txt,échange,Chine,amitié
vnp_url_380.txt,ambassadeur,facilite,soutien
vnp_url_228.txt,Laos,libéré,régime
vnp_url_458.txt,général,conformément,Miralles
vnp_url_45.txt,nous,premier,fermement
vnp_url_144.txt,parties,affirmé,domaines
vnp_url_82.txt,il,déclaré,profonde
vnp_url_97.txt,Ils,suggéré,protocole
vnp_url_357.txt,Ils,suggéré,protocole
vnp_url_402.txt,il,déclaré,profonde
vnp_url_239.txt,délégation,",",homme
vnp_url_481.txt,,Malaisie,
vnp_url_187.txt,défense,attache,
vnp_url_207.txt,défense,attache,
vnp_url_324.txt,parties,affirmé,domaines
vnp_url_66.txt,produits,rien,capacité
vnp_url_28.txt,Laos,libéré,régime
vnp_url_247.txt,défense,attache,
vnp_url_163.txt,il,estime,»
vnp_url_493.txt,échange,Chine,amitié
vnp_url_499.txt,délégation,",",homme
vnp_url_407.txt,défense,attache,
vnp_url_337.txt,Ils,suggéré,protocole
vnp_url_286.txt,produits,rien,capacité
vnp_url_79.txt,délégation,",",homme
vnp_url_181.txt,,Malaisie,
vnp_url_391.txt,’,Viettel,produits
vnp_url_300.txt,ambassadeur,facilite,soutien
vnp_url_326.txt,produits,rien,capacité
vnp_url_347.txt,défense,attache,
vnp_url_221.txt,,Malaisie,
vnp_url_167.txt,défense,attache,
vnp_url_22.txt,il,déclaré,profonde
vnp_url_305.txt,nous,premier,fermement
vnp_url_268.txt,Laos,libéré,régime
vnp_url_359.txt,délégation,",",homme
vnp_url_85.txt,nous,premier,fermement
vnp_url_78.txt,général,conformément,Miralles
vnp_url_281.txt,,Malaisie,
vnp_url_27.txt,défense,attache,
vnp_url_443.txt,il,estime,»
vnp_url_68.txt,Laos,libéré,régime
vnp_url_331.txt,’,Viettel,produits
vnp_url_361.txt,,Malaisie,
vnp_url_466.txt,produits,rien,capacité
vnp_url_319.txt,délégation,",",homme
vnp_url_213.txt,échange,Chine,amitié
vnp_url_102.txt,il,déclaré,profonde
vnp_url_325.txt,nous,premier,fermement
vnp_url_191.txt,’,Viettel,produits
vnp_url_427.txt,défense,attache,
vnp_url_477.txt,Ils,suggéré,protocole
vnp_url_426.txt,produits,rien,capacité
vnp_url_123.txt,il,estime,»
vnp_url_353.txt,échange,Chine,amitié
vnp_url_328.txt,Laos,libéré,régime
vnp_url_428.txt,Laos,libéré,régime
vnp_url_151.txt,’,Viettel,produits
vnp_url_51.txt,’,Viettel,produits
vnp_url_62.txt,il,déclaré,profonde
vnp_url_168.txt,Laos,libéré,régime
vnp_url_107.txt,défense,attache,
vnp_url_468.txt,Laos,libéré,régime
vnp_url_177.txt,Ils,suggéré,protocole
vnp_url_445.txt,nous,premier,fermement
vnp_url_227.txt,défense,attache,
vnp_url_18.txt,général,conformément,Miralles
vnp_url_342.txt,il,déclaré,profonde
vnp_url_444.txt,parties,affirmé,domaines
vnp_url_233.txt,échange,Chine,amitié
vnp_url_271.txt,’,Viettel,produits
vnp_url_340.txt,ambassadeur,facilite,soutien
vnp_url_351.txt,’,Viettel,produits
vnp_url_411.txt,’,Viettel,produits
vnp_url_317.txt,Ils,suggéré,protocole
vnp_url_457.txt,Ils,suggéré,protocole
vnp_url_60.txt,ambassadeur,facilite,soutien
vnp_url_333.txt,échange,Chine,amitié
vnp_url_304.txt,parties,affirmé,domaines
vnp_url_378.txt,général,conformément,Miralles
vnp_url_424.txt,parties,affirmé,domaines
vnp_url_473.txt,échange,Chine,amitié
vnp_url_405.txt,nous,premier,fermement
vnp_url_199.txt,délégation,",",homme
vnp_url_53.txt,échange,Chine,amitié
vnp_url_260.txt,ambassadeur,facilite,soutien
vnp_url_448.txt,Laos,libéré,régime
vnp_url_323.txt,il,estime,»
vnp_url_500.txt,ambassadeur,facilite,soutien
vnp_url_321.txt,,Malaisie,
vnp_url_497.txt,Ils,suggéré,protocole
vnp_url_345.txt,nous,premier,fermement
vnp_url_67.txt,défense,attache,
